Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
0,67,0,2,0,unknown,little,1169,6,5
1,22,1,2,0,little,moderate,5951,48,5
2,49,0,1,0,little,unknown,2096,12,3
3,45,0,2,2,little,little,7882,42,4
4,53,0,2,2,little,little,4870,24,1
5,35,0,1,2,unknown,unknown,9055,36,3
6,53,0,2,0,quite rich,unknown,2835,24,4
7,35,0,3,1,little,moderate,6948,36,1
8,61,0,1,0,rich,unknown,3059,12,5
9,28,0,3,0,little,moderate,5234,30,1
10,25,1,2,1,little,moderate,1295,12,1
11,24,1,2,1,little,little,4308,48,0
12,22,1,2,0,little,moderate,1567,12,5
13,60,0,1,0,little,little,1199,24,1
14,28,1,2,1,little,little,1403,15,1
15,32,1,1,0,moderate,little,1282,24,5
16,53,0,2,0,unknown,unknown,2424,24,5
17,25,0,2,0,unknown,little,8072,30,0
18,44,1,3,2,little,moderate,12579,24,1
19,31,0,2,0,quite rich,unknown,3430,24,5
20,48,0,2,0,little,unknown,2134,9,1
21,44,0,2,1,quite rich,little,2647,6,5
22,48,0,1,1,little,little,2241,10,1
23,44,0,2,0,moderate,moderate,1804,12,1
24,26,0,2,0,unknown,unknown,2069,10,4
25,36,0,1,0,little,little,1374,6,4
26,39,0,1,0,little,unknown,426,6,5
27,42,1,2,1,rich,rich,409,12,5
28,34,0,2,0,little,moderate,2415,7,5
29,63,0,2,0,little,little,6836,60,0
30,36,0,2,0,rich,moderate,1913,18,0
31,27,0,2,0,little,little,4020,24,4
32,30,0,2,0,moderate,moderate,5866,18,1
33,57,0,1,1,unknown,unknown,1264,12,0
34,33,1,3,0,little,rich,1474,12,4
35,25,0,1,0,little,moderate,4746,45,5
36,31,0,2,2,little,unknown,6110,48,3
37,37,0,2,0,little,rich,2100,18,5
38,37,0,2,0,little,rich,1225,10,2
39,24,0,2,0,little,moderate,458,9,5
40,30,0,3,0,quite rich,unknown,2333,30,5
41,26,0,2,0,quite rich,moderate,1158,12,5
42,44,0,1,0,little,moderate,6204,18,6
43,24,0,2,1,moderate,little,6187,30,1
44,58,1,1,2,little,little,6143,48,1
45,35,1,3,0,little,unknown,1393,11,1
46,39,0,2,0,quite rich,unknown,2299,36,5
47,23,1,0,1,quite rich,little,1352,6,1
48,39,0,1,0,little,unknown,7228,11,1
49,28,1,2,0,moderate,unknown,2073,12,5
50,29,0,1,0,unknown,moderate,2333,24,4
51,30,0,3,0,little,moderate,5965,27,1
52,25,0,2,0,little,unknown,1262,12,5
53,31,0,2,0,unknown,unknown,3378,18,1
54,57,0,2,2,little,moderate,2225,36,1
55,26,0,1,0,unknown,unknown,783,6,1
56,52,0,3,0,unknown,moderate,6468,12,5
57,31,1,2,0,little,unknown,9566,36,5
58,23,1,3,0,little,rich,1961,18,1
59,23,1,1,1,little,little,6229,36,4
60,27,0,2,0,little,moderate,1391,9,0
61,50,0,2,0,unknown,moderate,1537,15,5
62,61,0,3,2,little,moderate,1953,36,0
63,25,0,2,0,little,moderate,14421,48,0
64,26,1,2,0,little,unknown,3181,24,5
65,48,0,2,0,unknown,unknown,5190,27,6
66,29,1,2,0,little,unknown,2171,12,5
67,22,0,2,0,rich,moderate,1007,12,1
68,37,0,2,2,little,unknown,1819,36,3
69,25,1,2,0,unknown,unknown,2394,36,5
70,30,1,2,0,little,unknown,8133,36,1
71,46,0,1,1,unknown,unknown,730,7,5
72,51,0,3,2,little,little,1164,8,7
73,41,1,1,0,little,moderate,5954,42,0
74,40,0,3,0,unknown,little,1977,36,3
75,66,0,3,2,little,little,1526,12,1
76,34,0,2,0,little,little,3965,42,5
77,51,0,2,0,little,moderate,4771,11,5
78,39,0,1,0,unknown,unknown,9436,54,1
79,22,0,2,0,little,moderate,3832,30,4
80,44,1,2,0,unknown,unknown,5943,24,5
81,47,0,2,0,quite rich,unknown,1213,15,5
82,24,1,1,1,moderate,unknown,1568,18,0
83,58,1,1,0,little,little,1755,24,7
84,52,0,1,0,little,little,2315,10,5
85,29,1,3,0,little,unknown,1412,12,0
86,27,1,2,0,little,moderate,1295,18,4
87,47,0,2,2,moderate,moderate,12612,36,3
88,30,0,3,0,moderate,little,2249,18,1
89,28,0,2,0,little,little,1108,12,6
90,56,0,2,0,little,unknown,618,12,5
91,54,0,2,0,little,little,1409,12,1
92,33,1,1,0,unknown,unknown,797,12,5
93,20,0,2,1,unknown,rich,3617,24,4
94,54,0,2,0,rich,moderate,1318,12,1
95,58,0,2,1,little,moderate,15945,54,0
96,61,1,2,0,unknown,unknown,2012,12,3
97,34,0,2,0,moderate,moderate,2622,18,0
98,36,0,2,0,little,moderate,2337,36,5
99,36,0,3,1,unknown,moderate,7057,20,1
100,41,0,1,1,moderate,unknown,1469,24,1
101,24,0,2,1,little,moderate,2323,36,5
102,24,1,2,0,little,unknown,932,6,5
103,35,0,2,1,little,moderate,1919,9,4
104,26,0,2,1,unknown,unknown,2445,12,1
